respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.11201314158980533,0.19017093903588428
26708,0.13540533352980952,0.13533425750617803
26709,0.2950511772467978,0.758236743383028
26710,0.6738327859686188,0.8881799359559241
26711,0.15938330640678225,0.6274998967935781
26712,0.401943431476639,0.9567439331377307
26714,0.1365447220827853,0.13077012149079173
26716,0.1250295140325293,0.8453592175732058
26717,0.11281760925421472,0.4221865479562627
26718,0.13140808100045553,0.35278723524568895
26719,0.12214622658325158,0.9544148856906127
26720,0.11476867200541843,0.1901269646739868
26721,0.14516343847292057,0.541125852494265
26722,0.1297886780839975,0.07853129457714095
26723,0.6585284092940301,0.9103297033529033
26727,0.1568682100897524,0.8332250139810519
26728,0.14604442658100983,0.5872736088195919
26729,0.1441866876180053,0.19768448202338906
26730,0.13545090147354114,0.1579152160358425
26731,0.1019118964455466,0.2737718780224329
26733,0.9895533392666965,0.9625491954434318
26734,0.938464579784437,0.41640742118632224
26736,0.10423433395488674,0.11417348002269447
26737,0.13319456013841474,0.13563304515507557
26738,0.6892379319621547,0.8542364403990885
26739,0.13577962693381185,0.17759361344887786
26740,0.13368924684749522,0.19775174714821375
26741,0.1365495917045583,0.8839281518177551
26742,0.1351018190151821,0.3584646821190019
26744,0.10501632102587928,0.6485809111427926
26745,0.1291810226796603,0.8824835828173418
26747,0.12370714483168122,0.25859822090188356
26749,0.12788306351135223,0.5843419728911936
26751,0.311219338249462,0.7337848413185256
26752,0.13508577845696657,0.11129244773286097
26753,0.08617036921753417,0.6418526981678141
26754,0.14026629130070645,0.32894006759083894
26756,0.13247295461961528,0.12332931932680483
26757,0.35467976631840303,0.6063957041343305
26759,0.13543574536142955,0.151410537781366
26763,0.9704221029451942,0.877931373349537
26764,0.9866769386437534,0.9284609580609696
26765,0.1511495175172578,0.6872270220135814
26766,0.12158861906499999,0.13381719775359355
26767,0.8356789883385434,0.7074714065540855
26768,0.09248762087774079,0.4836626477185056
26769,0.15412668080030964,0.16398884001995756
26770,0.1130762379909887,0.71698963906931
26771,0.162240139668256,0.12049164292711641
26772,0.12687480186148425,0.3744048205905878
26773,0.09113804453476168,0.3314815980854467
26774,0.09109420073789913,0.3163284768000216
26775,0.1098903892599265,0.5661652705107478
26777,0.11732178449727995,0.8282986926359612
26778,0.08612881709334912,0.16111434961423277
26779,0.11156225552322632,0.4745986471258375
26780,0.16037105627308673,0.869394362522513
26782,0.13337143168649646,0.3055534524093408
26783,0.1200601295842069,0.28475547669026885
26786,0.12951339047082885,0.1895381909624501
26788,0.1113949986080101,0.938126780736036
26789,0.11088981356454053,0.20222750848227694
26790,0.14409935238943042,0.22676242631668186
26791,0.1426066690401121,0.15429612697185338
26792,0.13494563556036632,0.8146211019828224
26793,0.13654320751657406,0.9344306786102974
26794,0.8741657554735913,0.9046559982927871
26795,0.11505598281987162,0.9366071142730871
26796,0.12940664559012338,0.11049911149103615
26797,0.11811407717165458,0.5762369559195984
26798,0.19509486264994558,0.14133869713147004
26800,0.11320925525037602,0.8699381168127917
26802,0.12914524121880722,0.16240160525489794
26803,0.10181762003639976,0.13363333838525426
26804,0.13524242868026512,0.11596779993095524
26805,0.12982460906370402,0.22709090470999668
26806,0.1344396604029324,0.9327620458210363
26809,0.6245573509514246,0.18563111180277153
26810,0.10454096601423052,0.19491513158029328
26811,0.10141966863371664,0.0738264924472365
26812,0.13148675069066168,0.8053962908878604
26815,0.12264153328148365,0.09555364608852532
26816,0.13092227994924086,0.14963047885237446
26818,0.13447927079742522,0.34397632318185245
